,,,分類,原価,原価,原価,原価,原価,売上,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,営業外,営業外,営業外,営業外(マイナス),営業外(マイナス),
203501,AttendBiz,203501,203501／株式会社I,192663,31908,261492,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203502,AttendBiz,203502,203502／株式会社J,0,0,0,0,0,550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203701,AttendBiz,203701,203701／株式会社K,405000,61691,1475328,0,0,2850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203801,AttendBiz,203801,203801／株式会社L,0,0,1275029,0,0,2300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203802,AttendBiz,203802,203802／株式会社M,1347500,75701,5474210,0,474243,14000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203803,AttendBiz,203803,203803／株式会社N,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203804,AttendBiz,203804,203804／株式会社O,2278058,349524,4437012,0,37300,13764436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203805,AttendBiz,203805,203805／株式会社P,0,280280,0,0,0,4750000,2007500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203806,AttendBiz,203806,203806／株式会社Q,4295311,361129,13898604,0,975294,44000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203807,AttendBiz,203807,203807／株式会社R,0,0,2488320,0,0,7953674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203808,AttendBiz,203808,203808／株式会社S,40500,5908,0,0,323,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203809,AttendBiz,203809,203809／株式会社T,440000,66608,0,0,0,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203810,AttendBiz管理,203810,203810／株式会社U,49500,7494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203811,AttendBiz管理,203811,203811／株式会社V,0,51942,0,43013,0,1443005,374000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203812,AttendBiz管理,203812,203812／株式会社W,0,0,410040,0,0,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203813,AttendBiz管理,203813,203813／株式会社X,0,0,702936,0,0,1550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209996,AttendBiz管理,209996,209996／株式会社Y,0,0,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209999,AttendBiz管理,209999,209999／株式会社Z,7157208,1337262,2309280,44636,73943,0,1606000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,新規開発,ー,1003／新規開発_TEMKIT開発,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,404,663"
1008,マーケ,1008,1008/コーポレートサイト制作,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209997,AttendBiz管理,209997,209997／デザインコンポーネント開発,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
